"sample_list","sig_list","expected_list","fitsig_list","actual_list","diff"
"HDC82","SBS1",0.257375648585034,0.257375648608327,0.309941520467836,0.052565871882802
"sysucc-1150T","SBS5",0.893411684312607,0.893411684312607,0.945880452342488,0.052468768029881
"TCGA-AG-A008-01A-01W-A00K-09","SBS30",0.0966655020746411,0.0966655020746411,0.148936170212766,0.0522706681381249
"CRC-34T","SBS1",0.333304220383508,0.333304220383508,0.28125,0.052054220383508
"587398","SBS5",0.484186452625647,0.484186452625647,0.536231884057971,0.0520454314323239
"CRC-35T","SBS5",0.77636477097199,0.77636477097199,0.724489795918367,0.0518749750536229
"TCGA-G5-6641-01A-11D-1826-10","SBS5",0.676752332816921,0.676752332816921,0.625,0.051752332816921
"TCGA-EI-7002-01A-11D-1924-10","SBS40",0.685675542871653,0.685675542871653,0.633928571428571,0.051746971443082
"TCGA-AA-3713-01A-21D-1719-10","SBS15",0.27940832727322,0.27940832727322,0.331152902698283,0.051744575425063
"TCGA-AA-3831-01A-01W-0900-09","SBS1",0.428314497062436,0.428314497062639,0.376623376623377,0.051691120439059
"T3298","SBS5",0.335209961476669,0.335209961476669,0.386861313868613,0.051651352391944
"TCGA-AA-3696-01A-01W-0900-09","SBS5",0.225381087888032,0.225381087888032,0.173913043478261,0.051468044409771
"TCGA-CK-5913-01A-11D-1650-10","SBS5",0.456642166792064,0.456642166792567,0.405278039585297,0.051364127206767
"T3062","SBS5",0.295340030210558,0.295340030210558,0.346666666666667,0.051326636456109
"TCGA-NH-A6GC-01A-12D-A40P-10","SBS40",0.528921730539075,0.528921730539075,0.580246913580247,0.0513251830411721
"T351","SBS1",0.44835895025622,0.44835895025624,0.397058823529412,0.051300126726808
"C5","SBS5",0.409504246708817,0.409504246708817,0.46078431372549,0.051280067016673
"T2258","SBS5",0.301864919935956,0.301864919935956,0.352941176470588,0.051076256534632
"TCGA-EI-6509-01A-11D-1733-10","SBS1",0.351597788041464,0.351597788041464,0.402597402597403,0.050999614555939
